@relation 'Cell Measurements'

@attribute Id {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156}
@attribute Measurement {Sig_01_Tot,Sig_01_Window,Sig_02_Tot,Sig_02_Window,Sig_03_Tot,Sig_03_Window,Sig_04_Tot,Sig_04_Window,Sig_10_Tot,Sig_10_Window,Sig_12_Tot,Sig_12_Window,Sig_13_Tot,Sig_13_Window,Sig_14_Tot,Sig_14_Window,Sig_20_Tot,Sig_20_Window,Sig_21_Tot,Sig_21_Window,Sig_23_Tot,Sig_23_Window,Sig_24_Tot,Sig_24_Window,Sig_30_Tot,Sig_30_Window,Sig_31_Tot,Sig_31_Window,Sig_32_Tot,Sig_32_Window,Sig_34_Tot,Sig_34_Window,Sig_40_Tot,Sig_40_Window,Sig_41_Tot,Sig_41_Window,Sig_42_Tot,Sig_42_Window,Sig_43_Tot,Sig_43_Window,n}
@attribute x {0}
@attribute y {0}
@attribute Value numeric

@data
3,Sig_41_Tot,0,0,301970
3,Sig_41_Window,0,0,53192.667557
3,Sig_42_Tot,0,0,301970
3,Sig_42_Window,0,0,59179.976576
3,Sig_43_Tot,0,0,301970
3,Sig_43_Window,0,0,117132.797468
3,n,0,0,2823
4,Sig_01_Tot,0,0,46698513
4,Sig_01_Window,0,0,7909733.340629
4,Sig_02_Tot,0,0,46698513
4,Sig_02_Window,0,0,27429724.680687
4,Sig_03_Tot,0,0,46698513
4,Sig_03_Window,0,0,1149106.522727
4,Sig_04_Tot,0,0,46698513
4,Sig_04_Window,0,0,1008734.675214
4,Sig_10_Tot,0,0,10179604
4,Sig_10_Window,0,0,17104.638178
4,Sig_12_Tot,0,0,10179604
4,Sig_12_Window,0,0,14035.69874
4,Sig_13_Tot,0,0,10179604
4,Sig_13_Window,0,0,6640.78022
4,Sig_14_Tot,0,0,10179604
4,Sig_14_Window,0,0,4702.07
4,Sig_20_Tot,0,0,84483210
4,Sig_20_Window,0,0,4957948.295552
4,Sig_21_Tot,0,0,84483210
4,Sig_21_Window,0,0,1474150.09002
4,Sig_23_Tot,0,0,84483210
4,Sig_23_Window,0,0,835869.420561
4,Sig_24_Tot,0,0,84483210
4,Sig_24_Window,0,0,732533.010526
4,Sig_30_Tot,0,0,604311
4,Sig_30_Window,0,0,9275.393207
4,Sig_31_Tot,0,0,604311
4,Sig_31_Window,0,0,6676.609532
4,Sig_32_Tot,0,0,604311
4,Sig_32_Window,0,0,10555.123688
4,Sig_34_Tot,0,0,604311
4,Sig_34_Window,0,0,14848.642105
4,Sig_40_Tot,0,0,470207
4,Sig_40_Window,0,0,127858.010441
4,Sig_41_Tot,0,0,470207
4,Sig_41_Window,0,0,98807.124484
4,Sig_42_Tot,0,0,470207
4,Sig_42_Window,0,0,110737.345375
4,Sig_43_Tot,0,0,470207
4,Sig_43_Window,0,0,20166.61661
4,n,0,0,4514
5,Sig_01_Tot,0,0,25926939
5,Sig_01_Window,0,0,177919.635338
5,Sig_02_Tot,0,0,25926939
5,Sig_02_Window,0,0,4574987.780785
5,Sig_03_Tot,0,0,25926939
5,Sig_03_Window,0,0,163714.026316
5,Sig_04_Tot,0,0,25926939
5,Sig_04_Window,0,0,171983.333333
5,Sig_10_Tot,0,0,927973
5,Sig_10_Window,0,0,1388.843958
5,Sig_12_Tot,0,0,927973
5,Sig_12_Window,0,0,1093.790754
5,Sig_13_Tot,0,0,927973
5,Sig_13_Window,0,0,1469.674699
5,Sig_14_Tot,0,0,927973
5,Sig_14_Window,0,0,1908.805031
5,Sig_20_Tot,0,0,66292470
5,Sig_20_Window,0,0,13985589.210577
5,Sig_21_Tot,0,0,66292470
5,Sig_21_Window,0,0,1095908.412313
5,Sig_23_Tot,0,0,66292470
5,Sig_23_Window,0,0,1539837.350649
5,Sig_24_Tot,0,0,66292470
5,Sig_24_Window,0,0,1340312.138728
5,Sig_30_Tot,0,0,365949
5,Sig_30_Window,0,0,11368.971278
5,Sig_31_Tot,0,0,365949
5,Sig_31_Window,0,0,8775.158392
5,Sig_32_Tot,0,0,365949
5,Sig_32_Window,0,0,18878.67578
5,Sig_34_Tot,0,0,365949
5,Sig_34_Window,0,0,13795.454545
